date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:34	9519/9519	---M--	200	added ('OK')	image/gif	etag:%22586-252f-4ad151836b6c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_3.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_3.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:34	8118/8118	---M--	200	added ('OK')	image/gif	etag:%22587-1fb6-4ad151836b6c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_4.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_4.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:34	7676/7676	---M--	200	added ('OK')	image/gif	etag:%2258e-1dfc-4ad151836b6c0%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_5.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_5.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:35	7628/7628	---M--	200	added ('OK')	image/gif	etag:%225a2-1dcc-4ad151845f900%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_6.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_6.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:35	6820/6820	---M--	200	added ('OK')	image/gif	etag:%225ad-1aa4-4ad151845f900%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_7.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_7.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:35	5876/5876	---M--	200	added ('OK')	image/gif	etag:%2259f-16f4-4ad151845f900%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_8.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_8.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:35	4986/4986	---M--	200	added ('OK')	image/gif	etag:%22582-137a-4ad151845f900%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/1_9.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/1_9.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:36	5077/5077	---M--	200	added ('OK')	image/gif	etag:%22599-13d5-4ad1518553b40%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_0.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_0.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:36	9573/9573	---M--	200	added ('OK')	image/gif	etag:%225ab-2565-4ad1518553b40%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_1.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_1.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
21:26:36	4974/4974	---M--	200	added ('OK')	image/gif	etag:%22593-136e-4ad1518553b40%22	http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/2_10.gif	Z:/jns1/1234/lab_net/Network_Simulate/NetSimulate/Image/2_10.gif	(from http://www.habarov.spb.ru/lab_net/Network_Simulate/NetSimulate/Image/)
